,Titulo,Data,Cluster
1793,canada 's quebec crack crowding bar ...,2020-07-09,2
1792,seafarer isolation testing positive covid-19,2020-07-09,2
1791,fecic unveils first protocol spanish meat industry ...,2020-07-09,2
1790,moderna sign deal spain 's rovi supply potential ...,2020-07-09,2
1789,el dato seroprevalencia españa alarma mundo : `` es jarro agua fría '',2020-07-09,2
1788,british holidaymaker visiting mar menor tourist area spain may wear mask time,2020-07-09,2
1786,la farmacéutica española rovi fabricará madrid vacuna moderna coronavirus,2020-07-09,0
1785,spain fight 73 covid-19 outbreak case jump 543,2020-07-09,2
1784,masks obligatory spain ’ s balearic islands monday – need know,2020-07-09,2
1787,spain ’ s unidas podemos party push sweeping migrant regularization,2020-07-09,2
1803,coronavirus : ¿es seguro bañarse piscina pública ...,2020-07-10,0
1802,survey : most italians do n't want american tourists their ...,2020-07-10,2
1801,croatia opens borders american tourists - ignores eu ...,2020-07-10,2
1800,pandemic expose scientific rift proving germ ...,2020-07-10,2
1799,coronavirus : jet2 suspends flight spain scotland,2020-07-10,0
1797,in pics : locals spain ’ s mallorca condemn mandatory use face mask public demonstration,2020-07-10,2
1796,brasil abandona suerta población indígena frente ...,2020-07-10,2
1795,hundreds barred voting spanish regional election ...,2020-07-10,2
1794,fernando simón : dissecting public face spain ’ s coronavirus crisis,2020-07-10,0
1798,covid-19 pandemic 'accelerating ' 'getting worse ' – world ...,2020-07-10,2
1812,massive fire historic san gabriel mission destroys roof ...,2020-07-11,2
1811,is king felipe spain danger losing throne ?,2020-07-11,2
1810,tourists spain wear mask face £90 fine - even eating outside,2020-07-11,2
1809,ireland mourns 'most loved englishman ' jack charlton,2020-07-11,2
1808,celta still safe osasuna snatch late win,2020-07-11,2
1806,el coronavirus vacía turistas extranjeros siempre ...,2020-07-11,0
1805,reportaje | diez años gol iniesta ... talaverano,2020-07-11,2
1804,"'please help u , abandoned here . ' thousands moroccan seasonal worker stranded spain",2020-07-11,2
1807,uv light tool may kill coronavirus without damaging eye skin,2020-07-11,0
1819,what like perform 'la traviata ' live audience age coronavirus,2020-07-12,0
1821,"eva armisen ’ s painting happiness , family offer comfort",2020-07-12,2
1820,hamburg sex worker demand germany 's brothel reopen,2020-07-12,2
1818,spain 's catalonia order reconfinement lerida resident,2020-07-12,2
1813,spain : galicia basque country vote amid outbreak,2020-07-12,2
1816,canadian province ontario announce stage 3 reopening ...,2020-07-12,2
1815,tokyo confirms 206 new case coronavirus infection ...,2020-07-12,0
1814,"florida report 15,000 new coronavirus case , shattering record",2020-07-12,0
1817,cómo hacer galletas queden crujientes,2020-07-12,2
1830,covid-19 patient suffer serious heart damage – study,2020-07-13,2
1829,estonia imposes quarantine travellers from seven eu ...,2020-07-13,2
1828,la inesperada norma mercadona entrar súper : adiós medida prevenir covid,2020-07-13,1
1827,phone top catalan politician 'targeted government-grade spyware ',2020-07-13,2
1831,"covid-19 immunity antibody may last month , uk study suggests",2020-07-13,2
1825,la moncloa . 13/07/2020 . sanidad traslada comunidades ...,2020-07-13,1
1824,welcomed feared : how tourist spain received amid coronavirus crisis,2020-07-13,0
1823,2.045 new covid case spain since friday,2020-07-13,2
1822,covid-19 leaf spain 's interior tourist desert,2020-07-13,2
1826,"palomo spain manda parís poder poético , `` naíf '' `` sexual ''",2020-07-13,2
1841,covid-19 : pakistanis unused german visas can re ...,2020-07-14,2
1840,tributo 'héroes coronavirus ' fiesta nacional ...,2020-07-14,0
1839,portugal : de ejemplo frente covid lista negra,2020-07-14,2
1838,video : rowdy british tourist spain ignoring coronavirus mask rule,2020-07-14,0
1837,xiana méndez : `` la inversión internacional fundamental ...,2020-07-14,1
1836,the map spain ’ s coronavirus outbreak : 40 % linked family gathering,2020-07-14,0
1834,new beach app launched spain ’ s mallorca indicating covid-19 occupancy risk,2020-07-14,2
1833,‘ back spain ’ : último cartucho gobierno atraer turismo internacional,2020-07-14,2
1832,covid-19 spread increase spain 666 new case,2020-07-14,2
1835,"'rent empty flat i 'll repossess them ' , barcelona mayor ...",2020-07-14,2
1847,is in-person school safe ? your coronavirus back to school ...,2020-07-15,0
1849,most brits wear face mask — here 's,2020-07-15,2
1848,pink-caped chilean deputy brings lawmaker foot ...,2020-07-15,2
1846,covid-19 may manifest mouth some patients,2020-07-15,2
1850,"covid travel : wearing masks , in these 22 countries most do",2020-07-15,2
1844,390 new covid case spain today ; highest daily figure ...,2020-07-15,2
1842,magaluf palma party strip shut down spain ’ s mallorca covid-19 fear 100 police officer drafted,2020-07-15,2
1845,covid-19 spread increase spain 666 new case,2020-07-15,2
1843,barcelona rule lockdown covid-19 case spike,2020-07-15,2
1851,spain hold ceremony honor victim coronavirus pandemic,2020-07-16,0
1852,who director-general pay tribute spain 's sacrifice ...,2020-07-16,2
1853,spain 's daily coronavirus infection hit highest since may 10,2020-07-16,0
1854,spain cull 93000 mink farm hit coronavirus,2020-07-16,0
1855,580 new covid case spain last 24 hour,2020-07-16,2
1857,homenaje estado recuerda víctimas pandemia ...,2020-07-16,2
1858,"pandemic-hit arizona , texas county order cooler ...",2020-07-16,2
1859,spanish island close party strip rowdy tourist flout coronavirus law,2020-07-16,0
1860,aragonese government order slaughter 92700 mink ...,2020-07-16,2
1856,the mystery madrid ’ s lack coronavirus outbreak,2020-07-16,0
1870,el real madrid afición ganan liga coronavirus,2020-07-17,0
1866,cinco tendencias inversión sostenible marcarán próximos me,2020-07-17,2
1869,portugal fines airlines passengers arriving without ...,2020-07-17,2
1868,countries across globe battle flare-up covid-19,2020-07-17,2
1867,los reyes aplazan visita barcelona covid torra advierte viajes `` innecesarios '',2020-07-17,2
1865,barcelona área metropolitana vuelven confinamiento ...,2020-07-17,2
1863,spain 's population could halve end century : study,2020-07-17,2
1862,628 new covid case spain friday,2020-07-17,2
1861,"dutch pm : italy , spain portugal get covid-19 ...",2020-07-17,2
1864,"spain order cull nearly 100,000 farmed mink animal test positive covid-19",2020-07-17,2
1879,"england 's archer fined , warned protocol breach",2020-07-18,2
1878,region valencia make use mask public mandatory,2020-07-18,2
1877,"spain ordered culling 93000 mink , many carrying ...",2020-07-18,2
1876,"israelis protest netanyahu , gov't handling covid ...",2020-07-18,2
1875,"us opens borders students , academics ...",2020-07-18,2
1873,thai protester call government resign,2020-07-18,2
1872,covid-19 curb celebration real madrid 's spanish league triumph,2020-07-18,2
1871,barcelona lockdown covid-19 case soar | daily sabah,2020-07-18,2
1874,"from farm farm cantabria , spain",2020-07-18,2
1888,molly-mae tommy fury risk covid-19 exposure bug break formentera,2020-07-19,2
1887,stepjh & dom : my husband still want go spain holiday - i do n't !,2020-07-19,2
1886,real madrid draw final game send opponent leganes,2020-07-19,2
1884,"'mr . no , no , no ' - why dutch pm rutte play role eu ...",2020-07-19,2
1885,"japanese share slip weak export data , fall u.s. future",2020-07-19,2
1882,drinking club closed totana due covid outbreak,2020-07-19,2
1881,barcelona ’ s movie theaters re-close amid covid-19 second wave,2020-07-19,2
1880,"sun-seekers crowd barcelona beach , defying coronavirus ...",2020-07-19,0
1883,marquez break arm season-opening spanish grand prix,2020-07-19,2
1897,25 % gaucher patients spain report missed ert dose ...,2020-07-20,2
1896,quarantine rule lifted spain - gov.scot,2020-07-20,2
1895,coronavirus ruin fiesta spain 's bullfighting aficionado,2020-07-20,0
1894,defensa suspende desfile 12 octubre covid : acto sencillo palacio real,2020-07-20,2
1898,strawberry picker ' plight expose 'modern slavery ',2020-07-20,2
1892,parties nightclub : the new hotspot coronavirus outbreak spain,2020-07-20,0
1891,spain 's coronavirus rate triple three week lockdown ...,2020-07-20,0
1890,spain : parties seen behind new surge covid-19,2020-07-20,2
1889,eu recovery fund condition could hinder labor law change spain,2020-07-20,2
1893,spanish village ban eating sunflower seed public stop ...,2020-07-20,2
1908,"ace2 , tmprss2 , furin variant sars‐cov‐2 ...",2020-07-21,2
1907,¿cuáles principales preocupaciones jóvenes españoles tras covid-19 ?,2020-07-21,2
1906,renovarse morir digital,2020-07-21,2
1905,el grupo telepizza cambium nombre : pasa denominarse food delivery brands,2020-07-21,2
1904,eu leader strike 'historic ' $ 2 trillion deal rebuild europe 's economy,2020-07-21,2
1903,are spaniards willing adopter face mask europe ?,2020-07-21,2
1901,"13 % spanish bar , hotel restaurant permanently ...",2020-07-21,2
1900,deportivo relegated spain covid-19 scare - punch ...,2020-07-21,2
1899,"spain register 1,362 covid-19 case",2020-07-21,2
1902,dividend bar spanish firm coronavirus support,2020-07-21,0
1915,"entrevista miquel iribarren , product manager ravago ...",2020-07-22,2
1917,méxico supera 40.000 muertos covid-19,2020-07-22,2
1916,"new rule murcia region ; karaoke , dancing ...",2020-07-22,2
1914,seis me cárcel saltarse cuarentena ...,2020-07-22,2
1918,primark expands malaga store become largest spain ’ s andalucia,2020-07-22,2
1912,el 'milagro ' do peluqueras covid-19 : contagiaron ninguno 139 clientes,2020-07-22,2
1909,coronavirus case spain : 40 % age 40 half asymptomatic,2020-07-22,0
1913,"la movilidad sostenible , infraestructuras verdes ...",2020-07-22,1
1911,el contagio covid deja ser accidente laboral personal sanitario,2020-07-22,2
1910,"novak djokovic blows off mask , social distancing spain after covid incident",2020-07-22,2
1928,suncor moves terra nova fpso conception bay,2020-07-23,2
1927,spain set term open rail service outside competition,2020-07-23,2
1926,ccc-liv pull first woman 's race new season due ...,2020-07-23,2
1924,good vibration ? covid quiet time soothes earth 's seismic ...,2020-07-23,2
1925,spain local lockdown measure ‘ helping keep people alert ’,2020-07-23,2
1922,will spain be next country need bailout ?,2020-07-23,2
1921,suspendida manifestación airbus sevilla tras positivo covid-19,2020-07-23,2
1920,american airlines pierde 3.600 millones primer semestre covid,2020-07-23,2
1919,france considers closing border spain covid-19 outbreak soar across peninsula,2020-07-23,2
1923,"spanish love get toxic divorce boom , say sun lawyers",2020-07-23,2
1938,"clean 'inhumane ' migrant fruit-picker camp , un official ...",2020-07-24,2
1937,miss world spain 2020 : candidatas,2020-07-24,2
1936,una inmunoterapia 'made spain ' frena crecimiento ...,2020-07-24,2
1935,"norway lifts travel restrictions for 7 swedish regions , spain quarantine returns",2020-07-24,2
1934,"norway restrict travel spain , open sweden",2020-07-24,2
1933,"mapfre ganó 271 millones junio , 27,7 % menos siniestros covid-19",2020-07-24,2
1931,'could already be a second wave ' : some restrictions return ...,2020-07-24,2
1930,spain is facing second wave coronavirus outbreaks . here 's what know,2020-07-24,0
1929,spain 's region enact new restriction curb covid-19,2020-07-24,2
1932,castilla mancha take contact detail club user ...,2020-07-24,2
1948,barcelona & spain legend xavi test positive coronavirus,2020-07-25,0
1947,uk quarantine traveller spain sudden blow ...,2020-07-25,2
1946,spain build camp migrant strawberry picker u.n. ...,2020-07-25,2
1945,"maharashtra coronavirus case spain , uk",2020-07-25,0
1944,spain barcelona great xavi test positive covid-19,2020-07-25,2
1943,mallorca 's cocaine dealer offering free face mask drug holiday hotspot palma,2020-07-25,2
1941,travellers spain face quarantine rule,2020-07-25,2
1940,spain removed travel corridor exemption list,2020-07-25,2
1939,spain added 14-day quarantine list coronavirus case rise,2020-07-25,0
1942,"reimposition quarantine hit spain ’ s vital , already struggling tourism sector",2020-07-25,2
1957,world news | ⚡uk 's new coronavirus guidelines : travellers arriving spain ordered quarantine 14 days,2020-07-26,0
1956,global port operator dp world say outlook uncertain q2 ...,2020-07-26,2
1955,medidas riesgo : ¿qué percepción españoles covid-19 ?,2020-07-26,2
1953,benidorm shock uk 's quarantine 'hammer blow ...,2020-07-26,2
1954,spain scotland - restaurant bos family inspiration behind growing empire,2020-07-26,2
1951,uk imposes 14-day quarantine traveller spain,2020-07-26,2
1950,coronavirus : tui ax holiday mainland spain two week travel firm criticise quarantine timing,2020-07-26,0
1949,british tourist disappointed uk u-turn travel corridor spain,2020-07-26,2
1952,spain take aim nightclub beach virus rebound,2020-07-26,2
1967,un abuelo muere después nieta infectase coronavirus tras ir fiesta amigo,2020-07-27,0
1966,evidence covid-19 virus existed march 2019 would ‘ highly surprising ’ say expert,2020-07-27,2
1965,spain 's total coronavirus case jump 6000 ...,2020-07-27,0
1964,las secuelas covid : tenista dimitrov dejará jugar tiempo falta físico,2020-07-27,2
1963,town inland malaga predicts 90 % occupancy rate summer spain ’ s costa sol suffer huge loss,2020-07-27,2
1962,catalan leader warns stricter measure coronavirus continues surge,2020-07-27,0
1961,ryanair pierde 185 millones euro trimestre impacto covid,2020-07-27,2
1960,"ana garcía segundo ( almería ) , ganadora miss world spain 2020 , similar miss españa - nius",2020-07-27,2
1959,ana garcía segundo corona ganadora 'miss ...,2020-07-27,2
1958,rising number coronavirus case spain spark concern ...,2020-07-27,0
1977,"el dipiridamol , anticoagulante , podría ser eficaz pacientes covid-19 grave",2020-07-28,2
1976,el vídeo playa chipiona asombra mundo : así sistema controlar covid,2020-07-28,2
1975,tab spain renueva web “ acercar consumidor ” ...,2020-07-28,2
1974,el cantante andrea bocelli duda gravedad covid-19,2020-07-28,2
1973,real madrid forward mariano test positive covid-19 | daily sabah,2020-07-28,2
1971,ryanair pledge cancel flight spain announcing mass loss,2020-07-28,2
1970,coronavirus : uk quarantine restriction unjust - spain pm,2020-07-28,0
1969,"spain slam uk , germany advising tourist stay away",2020-07-28,2
1968,spain report one million job loss coronavirus crisis,2020-07-28,0
1972,"isabel díaz ayuso creará 'cartilla covid-19 ' acceder museos , cines gimnasios",2020-07-28,2
1982,spotify eleva pérdidas 356 millones covid aumento costes,2020-07-29,2
1978,"after backlash , madrid row back covid 'immunity card '",2020-07-29,2
1979,coronavirus : 'we 've paid spain trip may well go ',2020-07-29,0
1980,coronavirus : what 's evidence europe 'second wave ' ?,2020-07-29,0
1981,spain ’ s pm asks spirit consensus aid recovery,2020-07-29,2
1983,la doctora camerunesa defiende trump : `` los alien semen demonios provocan covid '',2020-07-29,1
1984,"la tecnología estadística española covid-19 , premiada fundación bbva",2020-07-29,2
1985,"pauline peyraud-magnin , fichaje atlético femenino secuelas coronavirus",2020-07-29,0
1986,two die balcony incident marbella,2020-07-29,2
1987,get sofa ! spain see post-lockdown furniture boom,2020-07-29,2
1995,la dueña centro comercial la ermita madrid desafía covid : sale bolsa valorada 21 millones,2020-07-30,1
1994,exclusive-chinese-backed hacker targeted covid-19 ...,2020-07-30,2
1997,coronavirus | no comité expertos desescalada,2020-07-30,0
1996,biggest daily rise spain coronavirus case since june : live,2020-07-30,0
1993,global report : french spanish covid-19 case highest level week,2020-07-30,2
1990,por covid-19 tan peligroso : hace organismo,2020-07-30,2
1991,spain agrees investment plan airbus exchange ...,2020-07-30,2
1989,covid-19 europe : latest figure tell u ?,2020-07-30,2
1988,"los anticuerpos resfriado podrían proteger covid-19 , según nuevo estudio",2020-07-30,2
1992,coronavirus : england highest level excess death,2020-07-30,0
2017,spanish paralympic committee approves 2021 budget ...,2021-01-01,2
2016,how covid-19 took over world 2020,2021-01-01,2
2015,leo messi nueve estrellas libres ...,2021-01-01,2
2014,"covid vaccine : hesitancy , conspiracy theory misinformation",2021-01-01,2
2013,río janeiro ciudad méxico empiezan año ...,2021-01-01,2
2012,"gas , correo iva bebidas azucaradas : subidas trae cuesta enero",2021-01-01,2
2011,"joaquín , tres jugadores betis dado positivo covid sevilla",2021-01-01,2
2009,más 2.000 persona fiesta nochevieja ilegal ...,2021-01-01,2
2008,"tokyo 2020 preview : attending fan , new sport spanish athlete watch",2021-01-01,2
2010,at least 26 resident died covid-19 belgian care home ...,2021-01-01,2
2006,"cariló , propia burbuja : pesar covid-19 , alquileres “ alta gama ” salvan temporada pinamar",2021-01-01,2
2005,¿pueden dejar usar barbijo persona vacunadas covid-19 ?,2021-01-01,2
2004,multitudes calles discotecas abarrotadas : fiesta wuhan tras año pandemia inició “ mercados húmedos ”,2021-01-01,2
2003,así produce vacuna oxford/astrazeneca covid-19 argentina | video | cnn,2021-01-01,2
2002,"coronavirus méxico : registraron 11,091 nuevos casos 700 muertes últimas 24 horas",2021-01-01,0
2001,coronavirus caba : ciudad buenos aires confirmó 2146 casos último día año,2021-01-01,0
2000,venezuela volverá cuarentena incremento contagios covid-19,2021-01-01,2
1999,murió coronavirus politólogo carlos escudé,2021-01-01,0
1998,argentina reportó 317 casos adversos vacunados sputnik v,2021-01-01,1
2007,recomendaciones contagiarse covid-19 primer asado 2021,2021-01-01,2
2030,gibraltar go total covid lockdown eight ...,2021-01-02,2
2031,los mejores polvorones mantecados españa,2021-01-02,2
2032,pintadas cabeza cerdo casa congresista nancy pelosi,2021-01-02,2
2029,junta restricts movement campo municipality ...,2021-01-02,2
2034,aerosol expert jose-luis jimenez sounding alarm ...,2021-01-02,2
2035,validity reliability self-care activities screening ...,2021-01-02,2
2036,the buchinger wilhelmi medi-hotel prescribes extreme fasting regimen,2021-01-02,2
2033,"organisers spanish rave face fine €600,000",2021-01-02,2
2028,breaking : social lockdown come force today gibraltar,2021-01-02,2
2019,cómo diferenciar síntomas coronavirus dengue,2021-01-02,0
2026,2020 : the year,2021-01-02,2
2027,murió intelectual carlos escudé,2021-01-02,2
2020,el periodista larry king hospitalizado los ángeles covid-19,2021-01-02,2
2021,convulsiones parálisis encefalomielitis : reacciones alérgicas doctora coahuila tras vacunarse covid-19,2021-01-02,2
2018,coronavirus : ¿habrá cuarentena total argentina 15 enero ?,2021-01-02,0
2023,"en medio largas filas , reanudaron pruebas rápidas covid-19 quioscos ciudad méxico",2021-01-02,2
2024,the economist afirma decisión argentina usar sputnik v ver geopolítica salud,2021-01-02,1
2025,"por crisis pandemia , fusiones adquisiciones registraron valor bajo década",2021-01-02,2
2022,italia reabrirá colegios 7 enero pesar contagios covid-19,2021-01-02,2
2048,britons flying home spain caught post-brexit red tape,2021-01-03,2
2055,these are michel hayek 's 2021 predictions for the rest of ...,2021-01-03,2
2054,us congress convenes start high-stakes political week,2021-01-03,2
2053,venezuela 's oil export sink 1940 's level tighter u.s. ...,2021-01-03,2
2052,brits refused entry spain barcelona airport ‘ deported ’ police fail recognise old-style residency paper certificate,2021-01-03,2
2051,graphic a 2021 vision : every fund manager buying ...,2021-01-03,2
2050,la patronal ocio nocturno ejercerá acusación popular 'rave ' llinars,2021-01-03,1
2049,‘ covid bomb ’ : shocked shopper call police hundred cram marbella ’ s la cañada centre see celebrity three kings event,2021-01-03,1
2047,casi centenar contagios covid-19 residencia ancianos illescas,2021-01-03,2
2046,"murió raúl baglini , autor 'teorema ' clave explicar política argentina",2021-01-03,1
2045,"coronavirus argentina : casos tercero arriba , córdoba 3 enero",2021-01-03,0
2044,brasil autorizó importación do millones vacunas coronavirus oxford-astrazeneca,2021-01-03,0
2043,"pinamar : los beach , foco preocupación plenum suba casos coronavirus",2021-01-03,0
2042,los países rico aseguraron vacunas covid-19 abastecer 3 veces población,2021-01-03,2
2041,"mapa coronavirus méxico 3 enero : cdmx , edomex , nuevo león guanajuato , focos rojos epidemia casos activos",2021-01-03,0
2040,"fiestas playa , freno : policía dispersa , minutos vuelven armar",2021-01-03,2
2039,"qué mielitis transversa , padecimiento relacionó doctora mexicana tras recibir vacuna pfizer anti covid-19",2021-01-03,2
2038,"por aglomeraciones playas , recuerdan ...",2021-01-03,2
2037,coronavirus.- el gobierno argentino denuncia `` campaña ...,2021-01-03,0
2068,"virus , brexit fallout , worry near gibraltar",2021-01-04,2
2069,"saltan alarmas fórmula 1 : gp australia , cerca suspenderse covid",2021-01-04,2
2070,los 'errores ' fernando simón predicciones pandemia gráfico,2021-01-04,2
2071,dialysis patient 'really proud ' first get oxford covid jab,2021-01-04,2
2075,la lección tarzán hace 50 años persona quieren vacunarse covid,2021-01-04,1
2073,el museo prado reina sofía pierden 70 % visitantes pandemia,2021-01-04,2
2074,"eu recovery plan face bottleneck , economist warn",2021-01-04,2
2067,green certificate proof residency spain,2021-01-04,2
2072,el ránking países población vacunado covid-19,2021-01-04,2
2066,new restriction infection spain rise,2021-01-04,2
2056,salud advierte aumento casos covid-19 ...,2021-01-04,2
2064,"dónde puedes vacunarte covid-19 miami , florida",2021-01-04,2
2063,colombia supera 44.000 muertes covid-19 lunes 4 enero,2021-01-04,2
2062,la cabo ejército argentino falleció recibido ...,2021-01-04,1
2061,`` floricienta '' : actor reconocida serie argentina revela contrajo covid-19,2021-01-04,2
2060,guillermo coppola dio positivo covid-19 : “ me angustié pensando conmigo ”,2021-01-04,2
2059,el reino unido comenzó aplicar vacuna oxford/astrazeneca covid-19,2021-01-04,2
2058,"leopoldo luque , campeón mundo argentina 1978 , terapia intensiva covid-19",2021-01-04,2
2057,argentina ocupa puesto 8 ranking mayor cantidad vacunados millón habitantes,2021-01-04,1
2065,reporte epidemiológico molecular provincias la ...,2021-01-04,1
2088,spain & gibraltar disagree who will have final say ...,2021-01-05,2
2089,morocco 's blue-hued chefchaouen emptied covid-19 ...,2021-01-05,2
2090,many long covid patient unable work half year later – uk ...,2021-01-05,2
2087,¿qué ingredientes vacuna moderna ...,2021-01-05,2
2092,"as part uk enter third covid lockdown , rest europe compare ?",2021-01-05,2
2093,las otras 100 mayores fortunas españa,2021-01-05,2
2095,watch : wage supplement scheme launched three month,2021-01-05,2
2091,coronavirus : mclaren driver lando norris test positive,2021-01-05,0
2086,video : covid-19 rain spain 's epiphany parade,2021-01-05,2
2094,port spain general hospital nurses contract covid,2021-01-05,2
2084,jair bolsonaro : “ brasil quebrado puedo hacer nada ”,2021-01-05,2
2076,toque queda sanitario do provincias argentina ...,2021-01-05,1
2077,"es científica argentina , dio vacuna moderna cuenta infobae cómo experiencia",2021-01-05,1
2078,sergio affronti nuevo presidente red argentina pacto global,2021-01-05,1
2079,una actriz “ harry potter ” reveló hijo recién nacido covid-19,2021-01-05,2
2085,sin casos covid-19 vacuna : cómo primer país mundo totalmente libre coronavirus,2021-01-05,2
2081,en 2020 realizaron 1.700 trasplantes órganos ...,2021-01-05,2
2082,roberto baradel recibió alta tras haberse contagiado coronavirus,2021-01-05,0
2083,¿premier league riesgo ? el nuevo récord casos positivos coronavirus amenaza fútbol inglés,2021-01-05,0
2080,formosa capital regresa fase uno debido aumento casos coronavirus,2021-01-05,0
2112,spain ’ s further merges trustedoctor offer borderless ...,2021-01-06,2
2111,queen letizia spain look chic monochrome join king felipe parade,2021-01-06,2
2110,"covid-19 : sept choses à savoir sur vaccin moderna , qui ...",2021-01-06,2
2109,la linea braced tougher covid measure virus case ...,2021-01-06,1
2108,spain see coldest temperature record,2021-01-06,2
2107,la unión europea aprueba vacuna moderna ...,2021-01-06,1
2105,cepillín arremetió yuri video reacciones alérgicas vacuna covid-19,2021-01-06,2
2104,instalaron máquinas expendedoras test coronavirus california,2021-01-06,0
2106,"new strain coronavirus circulating spain two week , expert conclude",2021-01-06,0
2102,coronavirus : muertes colapsan crematorios do países europa alerta máxima,2021-01-06,0
2096,ya aplicaron 39.599 dosis vacuna covid-19 ...,2021-01-06,2
2097,argentina vigila presencia diferentes variantes ...,2021-01-06,1
2098,rossi supervisó inicio operativo vacunación ...,2021-01-06,2
2103,"mujer 76 años padeció covid-19 , recuperó luego 6 me murió tras volver contagiarse",2021-01-06,2
2100,horacio rodríguez larreta coronavirus,2021-01-06,0
2101,consultas recibidas inadi pandemia ...,2021-01-06,2
2099,horacio rodríguez larreta test positive covid-19,2021-01-06,2
2132,value-added tax rates | 2021 vat rates europe,2021-01-07,2
2124,covid : spain traffic death drop record low amid lockdown,2021-01-07,2
2130,tendencias emergentes industria alimentaria ...,2021-01-07,2
2129,brits overstaying eu 's 90/180 days rule face penalties ...,2021-01-07,2
2128,lisbon ’ s startup scene rise portugal gear european tech tiger,2021-01-07,2
2127,‘ three wise men ’ use hot air balloon spain street parade cancelled,2021-01-07,2
2126,coldest temperature ever reported in spain last night : -35.6 ...,2021-01-07,2
2125,behind-the-scenes access hospital reveals covid impact ...,2021-01-07,2
2131,hollywood halt production amid unprecedented covid-19 ...,2021-01-07,2
2123,vacuna moderna : españa recibirá 16 millones dosis partir 21 enero,2021-01-07,2
2121,"la importancia vitamina d coronavirus , además cómo obtenerla naturalmente : médico imss",2021-01-07,0
2113,brote `` significativo '' covid aston villa dibu martínez,2021-01-07,2
2114,suspendería argentina vuelos internacionales,2021-01-07,1
2115,"si administra tiempo , plasma sanguíneo reduce riesgo caso grave covid-19",2021-01-07,2
2116,otra alerta coronavirus : creen puede tener efectos largo plazo cerebro,2021-01-07,0
2122,“ la vacuna herramienta permite luchar ...,2021-01-07,1
2118,universidades trabajan desarrollo textile anti-covid ...,2021-01-07,2
2119,“ argentina recupera ” : programa cruz roja dar respuestas soporte frente pandemia,2021-01-07,1
2120,internos ecatepec denunciaron muerte compañero covid negligencia superiores,2021-01-07,2
2117,avanza nueva vacuna covid-19 nanopartículas necesitará refrigeración sola dosis,2021-01-07,2
2143,"all latest coronavirus restriction spain , region region",2021-01-08,0
2151,las imágenes mundo deporte : físico drenthe ...,2021-01-08,2
2150,"covid reached uk three wave southern europe , study ...",2021-01-08,2
2149,spain ’ s iberia say goodbye legendary airbus a340/600 performs last flight madrid ciudad real,2021-01-08,2
2148,london mayor declares 'major incident ' coronavirus ...,2021-01-08,0
2147,price electricity spain soar 27 per cent midst ...,2021-01-08,2
2146,uk approves moderna covid-19 vaccine order ...,2021-01-08,2
2145,first case british covid variant found region murcia,2021-01-08,2
2144,spain ’ s costa sol malaga moved level 3 andalucia ’ s coronavirus tier system,2021-01-08,0
2152,"bershka , pull & bear stradivarius pull china store , possible effect spain",2021-01-08,2
2142,verano seguro : prefectura rescató tres persona ...,2021-01-08,2
2140,un médico vacunó coronavirus murió rara enfermedad,2021-01-08,0
2139,protocolo industria petrolera,2021-01-08,2
2138,por vacuna pfizer produce diez veces anafilaxia gripe,2021-01-08,2
2137,coronavirus : cuáles provincias afectadas ...,2021-01-08,0
2136,el gobierno bolivia alienta medicina tradicional covid-19,2021-01-08,2
2135,"en cali , joven intentó quitarse vida tras haber contagiado covid-19 abuelos",2021-01-08,2
2134,ya aplicaron 107.542 dosis vacuna covid-19 ...,2021-01-08,2
2133,¿funciona plasma pacientes covid ?,2021-01-08,2
2141,alerta nba : seth curry enteró positivo coronavirus pleno partido,2021-01-08,0
2163,"covid-19 transmission chain uk traced back spain , france italy",2021-01-09,2
2164,winter wonderland : madrid play heaviest snowfall 40 year,2021-01-09,2
2165,seeding ocean : inside michelin-starred chef 's revolutionary quest harvest rice from sea,2021-01-09,2
2170,"archaeologists discover ancient roman army camp spain 2,000 year ago",2021-01-09,2
2167,"the south spain , prada bag , meal indian accent defined luxury faballey co-founder , til",2021-01-09,2
2168,forget it ! nicola sturgeon told spain reject independent scotland joining eu,2021-01-09,2
2169,safety first ireland embark spanish trip,2021-01-09,2
2166,spanish karateka quintero say tokyo 2020 medal ...,2021-01-09,2
2162,coronavirus honduras hoy : cuántos casos registraron 9 enero,2021-01-09,0
2160,vacunación covid-19 formosa : prioridad personal salud fuerzas seguridad,2021-01-09,2
2159,argentina méxico comprometen fortalecer relaciones,2021-01-09,1
2158,"coronavirus argentina : casos tordillo , buenos aires 9 enero",2021-01-09,0
2157,el covid llevó destacado intelectual argentino,2021-01-09,2
2156,"las víctimas : cerca 2,000 menores sido asesinados pandemia méxico",2021-01-09,2
2155,el reino unido reúne fondos covid 75 aniversario onu,2021-01-09,2
2154,la reina isabel ii recibió vacuna coronavirus,2021-01-09,0
2153,coronavirus : ¿argentina países mayor cantidad vacunados mundo ?,2021-01-09,0
2161,la aclaración santos casos covid-19 plantel : `` el club sigue protocolos deporti,2021-01-09,2
2185,"valeen montenegro remembers late father , philippine football legend iñaki vicente",2021-01-10,2
2184,"ceuta , melilla : spaniards call 'more forceful ' response ...",2021-01-10,2
2183,joy amidst chaos : deadly snowstorm hit spain,2021-01-10,2
2182,francia amplía toque queda covid,2021-01-10,2
2181,"spain paralysed snowstorm , sends vaccine , food convoy",2021-01-10,2
